file,width,height,aspect_ratio,mean_brightness,contrast_std,pixels
X51005230616.jpg,608,1830,0.3322,240.21,40.48,1112640
X51005230617.jpg,604,1716,0.352,239.64,43.96,1036464
X51005230621.jpg,593,1769,0.3352,210.51,50.62,1049017
X51005230648.jpg,620,880,0.7045,222.01,56.91,545600
X51005230657.jpg,616,992,0.621,227.92,47.09,611072
X51005230659.jpg,584,1024,0.5703,219.22,25.18,598016
X51005255805.jpg,873,1656,0.5272,180.76,48.07,1445688
X51005268200.jpg,752,2214,0.3397,190.8,47.34,1664928
X51005268262.jpg,747,1412,0.529,197.15,45.24,1054764
X51005268275.jpg,835,2333,0.3579,191.52,43.11,1948055
X51005268400.jpg,807,1390,0.5806,180.31,48.31,1121730
X51005268408.jpg,758,1559,0.4862,202.53,31.64,1181722
X51005268472.jpg,780,2044,0.3816,182.98,45.05,1594320
X51005288570.jpg,447,1127,0.3966,245.57,41.84,503769
X51005301659.jpg,747,1412,0.529,197.15,45.24,1054764
X51005301661.jpg,818,1924,0.4252,191.87,43.68,1573832
X51005301666.jpg,835,2333,0.3579,191.52,43.11,1948055
X51005301667.jpg,835,2333,0.3579,186.19,42.06,1948055
X51005303661.jpg,818,1924,0.4252,191.87,43.68,1573832
X51005306399.jpg,447,915,0.4885,246.25,28.42,409005
X51005337867.jpg,619,2175,0.2846,243.62,37.32,1346325
X51005337872.jpg,623,1255,0.4964,246.8,29.91,781865
X51005337877.jpg,627,1071,0.5854,245.04,34.17,671517
X51005361883.jpg,993,2481,0.4002,236.51,50.44,2463633
X51005361895.jpg,953,1629,0.585,238.57,49.51,1552437
X51005361897.jpg,2481,3508,0.7072,249.68,28.18,8703348
X51005361898.jpg,2481,3508,0.7072,248.89,29.9,8703348
X51005361900.jpg,2481,3508,0.7072,249.79,28.53,8703348
X51005361906.jpg,1654,2339,0.7071,249.0,36.33,3868706
X51005361907.jpg,1654,2339,0.7071,247.83,39.29,3868706
X51005361908.jpg,1654,2339,0.7071,238.78,54.11,3868706
X51005361912.jpg,933,2445,0.3816,237.03,52.79,2281185
X51005361923.jpg,2481,3508,0.7072,251.56,20.67,8703348
X51005361946.jpg,1654,2339,0.7071,246.23,41.01,3868706
X51005361950.jpg,949,1349,0.7035,238.85,33.64,1280201
X51005365179.jpg,748,1338,0.559,241.93,51.48,1000824
X51005365187.jpg,743,1727,0.4302,241.23,49.85,1283161
X51005433492.jpg,1080,1527,0.7073,252.94,20.75,1649160
X51005433494.jpg,1080,1527,0.7073,251.73,25.63,1649160
X51005433514.jpg,1080,1527,0.7073,252.94,20.73,1649160
X51005433518.jpg,1080,1527,0.7073,252.89,21.06,1649160
X51005433522.jpg,1080,1527,0.7073,252.79,21.3,1649160
X51005433533.jpg,1080,1527,0.7073,249.06,34.81,1649160
X51005433538.jpg,1080,1519,0.711,252.84,20.87,1640520
X51005433541.jpg,1080,1527,0.7073,252.99,20.47,1649160
X51005433543.jpg,1080,1527,0.7073,252.98,20.53,1649160
X51005433548.jpg,1080,1527,0.7073,252.05,24.55,1649160
X51005433552.jpg,1080,1527,0.7073,252.66,21.48,1649160
X51005433553.jpg,1080,1527,0.7073,252.3,23.42,1649160
X51005433556.jpg,1080,1527,0.7073,251.87,25.34,1649160
X51005441398.jpg,591,1711,0.3454,250.97,15.08,1011201
X51005441401.jpg,619,1131,0.5473,248.75,24.84,700089
X51005441402.jpg,619,1203,0.5145,247.52,28.8,744657
X51005441407.jpg,627,1235,0.5077,247.27,28.02,774345
X51005441408.jpg,627,1535,0.4085,249.1,24.2,962445
X51005442322.jpg,1080,1527,0.7073,249.19,34.03,1649160
X51005442327.jpg,1080,1527,0.7073,252.77,21.54,1649160
X51005442333.jpg,1080,1528,0.7068,252.56,21.96,1650240
X51005442334.jpg,1080,1512,0.7143,252.72,20.42,1632960
X51005442338.jpg,1080,1527,0.7073,252.35,22.97,1649160
X51005442341.jpg,1080,1527,0.7073,253.84,15.68,1649160
X51005442343.jpg,1080,1527,0.7073,251.98,24.79,1649160
X51005442344.jpg,1080,1527,0.7073,251.79,25.51,1649160
X51005442346.jpg,1080,1527,0.7073,251.22,27.94,1649160
X51005442361.jpg,1080,1528,0.7068,251.23,26.66,1650240
X51005442366.jpg,1080,1528,0.7068,252.91,19.82,1650240
X51005442375.jpg,1080,1528,0.7068,252.79,20.8,1650240
X51005442376.jpg,1080,1528,0.7068,252.77,20.85,1650240
X51005442378.jpg,1080,1528,0.7068,244.91,38.57,1650240
X51005442379.jpg,1080,1528,0.7068,252.73,21.16,1650240
X51005442382.jpg,1080,1528,0.7068,252.88,20.32,1650240
X51005442383.jpg,1080,1528,0.7068,250.13,31.82,1650240
X51005442384.jpg,1080,1528,0.7068,252.83,20.47,1650240
X51005442386.jpg,1080,1528,0.7068,252.78,20.82,1650240
X51005442388.jpg,1080,1528,0.7068,253.47,17.18,1650240
X51005442392.jpg,1080,1527,0.7073,253.1,19.73,1649160
X51005442394.jpg,1080,1527,0.7073,252.95,20.56,1649160
X51005442397.jpg,1080,1527,0.7073,253.5,17.3,1649160
X51005444033.jpg,789,1772,0.4453,235.97,48.58,1398108
X51005444037.jpg,792,2748,0.2882,244.19,35.47,2176416
X51005444040.jpg,789,1757,0.4491,235.49,49.61,1386273
X51005444041.jpg,790,2050,0.3854,237.42,46.3,1619500
X51005444044.jpg,751,1278,0.5876,247.7,23.31,959778
X51005444045.jpg,753,1305,0.577,243.66,28.11,982665
X51005444046.jpg,793,1620,0.4895,248.47,24.18,1284660
X51005447832.jpg,664,1664,0.399,242.69,35.09,1104896
X51005447833.jpg,668,1598,0.418,240.76,38.11,1067464
X51005447839.jpg,936,1766,0.53,241.43,39.3,1652976
X51005447840.jpg,932,2160,0.4315,237.49,43.77,2013120
X51005447841.jpg,932,2160,0.4315,232.9,44.07,2013120
X51005447842.jpg,928,1769,0.5246,233.84,43.29,1641632
X51005447844.jpg,936,2015,0.4645,243.68,34.99,1886040
X51005447848.jpg,932,1987,0.469,245.62,31.04,1851884
X51005447850.jpg,932,1771,0.5263,238.06,43.09,1650572
X51005447851.jpg,928,1771,0.524,237.62,39.05,1643488
X51005447852.jpg,888,1571,0.5652,227.87,40.75,1395048
X51005447853.jpg,888,1718,0.5169,228.57,42.74,1525584
X51005447859.jpg,932,1773,0.5257,236.64,42.46,1652436
X51005447860.jpg,928,2130,0.4357,238.56,42.89,1976640
X51005447861.jpg,932,2683,0.3474,233.31,46.07,2500556
X51005453729.jpg,615,931,0.6606,246.81,29.18,572565
X51005453801.jpg,583,1303,0.4474,251.38,14.52,759649
X51005453802.jpg,615,931,0.6606,244.53,33.59,572565
X51005453804.jpg,619,875,0.7074,246.36,30.48,541625
X51005568827.jpg,944,2439,0.387,235.79,46.4,2302416
X51005568829.jpg,936,1841,0.5084,228.03,44.55,1723176
X51005568855.jpg,936,3521,0.2658,226.59,64.31,3295656
X51005568866.jpg,936,2753,0.34,226.44,49.51,2576808
X51005568880.jpg,932,2220,0.4198,237.2,34.41,2069040
X51005568881.jpg,884,1678,0.5268,222.62,34.59,1483352
X51005568884.jpg,936,1676,0.5585,238.42,40.86,1568736
X51005568885.jpg,884,1904,0.4643,241.17,37.28,1683136
X51005568887.jpg,888,1620,0.5481,229.76,55.21,1438560
X51005568889.jpg,888,1621,0.5478,234.56,47.1,1439448
X51005568890.jpg,888,1615,0.5498,228.31,55.6,1434120
X51005568891.jpg,884,2249,0.3931,231.76,50.14,1988116
X51005568892.jpg,888,1900,0.4674,242.35,33.0,1687200
X51005568894.jpg,936,2915,0.3211,241.66,39.26,2728440
X51005568895.jpg,932,2695,0.3458,239.09,36.03,2511740
X51005568898.jpg,936,2785,0.3361,224.82,35.02,2606760
X51005568899.jpg,932,1644,0.5669,241.69,33.99,1532208
X51005568900.jpg,936,1681,0.5568,233.27,32.64,1573416
X51005568911.jpg,932,2067,0.4509,237.82,33.25,1926444
X51005568913.jpg,932,2168,0.4299,232.07,37.34,2020576
X51005568914.jpg,932,2246,0.415,234.56,36.2,2093272
X51005577191.jpg,710,2030,0.3498,242.68,39.27,1441300
X51005577192.jpg,710,2020,0.3515,241.59,42.0,1434200
X51005582745.jpg,884,2466,0.3585,246.24,24.64,2179944
X51005587254.jpg,963,2260,0.4261,190.79,45.55,2176380
X51005587261.jpg,764,1717,0.445,191.68,44.29,1311788
X51005587267.jpg,853,2537,0.3362,188.36,47.37,2164061
X51005605284.jpg,793,1373,0.5776,240.03,53.86,1088789
X51005605285.jpg,697,1481,0.4706,235.75,59.47,1032257
X51005605286.jpg,741,1509,0.4911,234.62,61.96,1118169
X51005605287.jpg,741,1204,0.6154,240.97,49.14,892164
X51005605295.jpg,593,1277,0.4644,236.38,57.59,757261
X51005605332.jpg,709,1477,0.48,238.44,54.23,1047193
X51005605333.jpg,681,1737,0.3921,234.84,51.74,1182897
X51005605334.jpg,761,1713,0.4442,239.65,51.97,1303593
X51005605335.jpg,741,1733,0.4276,242.99,47.49,1284153
X51005621482.jpg,624,1500,0.416,239.94,44.55,936000
X51005663272.jpg,704,1883,0.3739,193.8,46.92,1325632
X51005663273.jpg,814,1477,0.5511,191.23,45.88,1202278
X51005663274.jpg,938,1697,0.5527,246.62,29.6,1591786
X51005663276.jpg,937,1449,0.6467,171.68,72.08,1357713
X51005663277.jpg,937,1450,0.6462,169.73,73.99,1358650
X51005663278.jpg,804,2157,0.3727,193.53,39.63,1734228
X51005663279.jpg,943,1871,0.504,241.07,44.0,1764353
X51005663280.jpg,782,2213,0.3534,195.15,39.78,1730566
X51005663293.jpg,713,2066,0.3451,194.58,40.63,1473058
X51005663297.jpg,937,3556,0.2635,237.3,51.37,3331972
X51005663298.jpg,934,2732,0.3419,246.22,31.74,2551688
X51005663300.jpg,934,1694,0.5514,248.69,25.97,1582196
X51005663301.jpg,933,1697,0.5498,238.24,54.8,1583301
X51005663307.jpg,939,2280,0.4118,239.61,46.56,2140920
X51005663309.jpg,914,2421,0.3775,232.69,51.62,2212794
X51005663310.jpg,933,1696,0.5501,248.66,24.25,1582368
X51005663311.jpg,936,1698,0.5512,247.74,27.83,1589328
X51005663317.jpg,935,1695,0.5516,248.92,25.49,1584825
X51005663323.jpg,888,2390,0.3715,241.19,37.0,2122320
X51005663324.jpg,934,2789,0.3349,243.14,38.19,2604926
X51005675095.jpg,741,1220,0.6074,181.88,54.28,904020
X51005675099.jpg,933,1837,0.5079,245.4,30.74,1713921
X51005675103.jpg,932,2078,0.4485,243.54,38.37,1936696
X51005675104.jpg,931,1870,0.4979,242.42,40.58,1740970
X51005675914.jpg,828,2080,0.3981,169.8,80.81,1722240
X51005676534.jpg,935,2080,0.4495,242.53,41.06,1944800
X51005676535.jpg,933,1974,0.4726,242.72,39.92,1841742
X51005676536.jpg,933,2079,0.4488,243.05,38.97,1939707
X51005676537.jpg,931,1967,0.4733,244.22,36.6,1831277
X51005676538.jpg,932,2172,0.4291,243.0,41.07,2024304
X51005676539.jpg,933,1861,0.5013,243.14,35.97,1736313
X51005676540.jpg,940,2077,0.4526,241.3,43.35,1952380
X51005676541.jpg,932,2169,0.4297,243.57,37.62,2021508
X51005676542.jpg,932,1867,0.4992,241.77,40.61,1740044
X51005676543.jpg,935,1970,0.4746,240.32,44.13,1841950
X51005676544.jpg,935,1861,0.5024,240.91,43.13,1740035
X51005676545.jpg,934,1860,0.5022,241.48,40.58,1737240
X51005676546.jpg,935,1864,0.5016,241.86,40.89,1742840
X51005676547.jpg,932,1864,0.5,241.83,42.86,1737248
X51005676548.jpg,935,1975,0.4734,244.42,35.89,1846625
X51005676549.jpg,932,1973,0.4724,243.53,37.24,1838836
X51005677327.jpg,932,1865,0.4997,242.43,40.57,1738180
X51005677328.jpg,935,1865,0.5013,243.35,38.0,1743775
X51005677329.jpg,938,1864,0.5032,242.06,41.05,1748432
X51005677331.jpg,934,2081,0.4488,242.88,39.48,1943654
X51005677332.jpg,935,1859,0.503,243.49,38.8,1738165
X51005677333.jpg,933,2080,0.4486,243.01,39.27,1940640
X51005677334.jpg,932,1975,0.4719,242.09,41.21,1840700
X51005677335.jpg,938,1972,0.4757,241.28,43.57,1849736
X51005677336.jpg,934,1869,0.4997,243.08,38.86,1745646
X51005677337.jpg,936,1976,0.4737,243.13,39.29,1849536
X51005677339.jpg,934,1927,0.4847,245.58,33.5,1799818
X51005684949.jpg,439,907,0.484,247.15,26.59,398173
X51005685355.jpg,615,1403,0.4383,245.17,31.39,862845
X51005685357.jpg,623,1535,0.4059,245.47,30.38,956305
X51005705722.jpg,958,1816,0.5275,180.78,64.59,1739728
X51005705727.jpg,1035,2155,0.4803,190.15,41.57,2230425
X51005705729.jpg,958,1922,0.4984,190.87,44.61,1841276
X51005705760.jpg,892,2897,0.3079,184.38,49.65,2584124
X51005705784.jpg,787,2204,0.3571,183.85,53.6,1734548
X51005705804.jpg,1263,2143,0.5894,194.13,37.92,2706609
X51005710963.jpg,880,2526,0.3484,246.18,28.67,2222880
X51005711401.jpg,932,1907,0.4887,242.76,36.16,1777324
X51005711402.jpg,932,1866,0.4995,241.06,37.84,1739112
X51005711403.jpg,932,1865,0.4997,243.26,35.8,1738180
X51005711404.jpg,932,1780,0.5236,238.56,45.29,1658960
X51005711441.jpg,932,1784,0.5224,240.86,41.68,1662688
X51005711442.jpg,932,1869,0.4987,243.87,34.85,1741908
X51005711443.jpg,932,1866,0.4995,241.73,38.48,1739112
X51005711444.jpg,932,1695,0.5499,241.6,37.35,1579740
X51005711445.jpg,932,1783,0.5227,242.84,36.21,1661756
X51005711446.jpg,932,1781,0.5233,244.27,33.33,1659892
X51005711447.jpg,932,1692,0.5508,241.89,37.9,1576944
X51005711449.jpg,932,1704,0.5469,243.98,36.18,1588128
X51005711451.jpg,932,1695,0.5499,240.73,31.15,1579740
X51005711452.jpg,920,1929,0.4769,242.24,36.45,1774680
X51005711453.jpg,920,1757,0.5236,238.3,35.14,1616440
X51005711454.jpg,936,2283,0.41,237.16,36.82,2136888
X51005711456.jpg,936,2779,0.3368,242.14,39.23,2601144
X51005712017.jpg,608,1214,0.5008,240.09,43.79,738112
X51005712021.jpg,584,1072,0.5448,229.87,51.22,626048
X51005712038.jpg,616,1192,0.5168,229.66,56.25,734272
X51005712039.jpg,616,1182,0.5212,232.39,46.45,728112
X51005715007.jpg,615,1811,0.3396,242.03,54.68,1113765
X51005715010.jpg,615,1727,0.3561,234.11,68.67,1062105
X51005715451.jpg,615,1491,0.4125,240.76,56.79,916965
X51005715455.jpg,591,1123,0.5263,240.9,56.75,663693
X51005715456.jpg,607,1295,0.4687,234.85,67.27,786065
X51005717526.jpg,600,1312,0.4573,239.03,36.43,787200
X51005719814.jpg,936,1617,0.5788,236.01,47.36,1513512
X51005719823.jpg,884,2249,0.3931,238.4,36.59,1988116
X51005719855.jpg,932,2126,0.4384,241.63,34.28,1981432
X51005719856.jpg,932,2222,0.4194,240.23,37.85,2070904
X51005719857.jpg,936,2211,0.4233,243.12,33.63,2069496
X51005719862.jpg,884,1424,0.6208,191.8,47.75,1258816
X51005719863.jpg,884,1940,0.4557,206.57,52.82,1714960
X51005719864.jpg,884,1741,0.5078,235.18,29.24,1539044
X51005719873.jpg,932,2852,0.3268,233.28,56.38,2658064
X51005719874.jpg,932,1368,0.6813,241.9,35.05,1274976
X51005719882.jpg,884,1610,0.5491,225.18,38.54,1423240
X51005719883.jpg,884,1597,0.5535,226.42,38.36,1411748
X51005719886.jpg,932,1708,0.5457,238.59,42.26,1591856
X51005719888.jpg,936,1892,0.4947,243.32,35.59,1770912
X51005719889.jpg,928,2174,0.4269,242.74,36.32,2017472
X51005719893.jpg,936,2017,0.4641,242.75,35.27,1887912
X51005719895.jpg,888,2662,0.3336,233.97,42.98,2363856
X51005719896.jpg,812,2864,0.2835,129.27,20.55,2325568
X51005719898.jpg,940,1660,0.5663,232.3,28.24,1560400
X51005719899.jpg,932,1617,0.5764,242.78,34.45,1507044
X51005719902.jpg,884,1963,0.4503,242.67,29.02,1735292
X51005719903.jpg,916,1694,0.5407,242.92,35.14,1551704
X51005719904.jpg,932,1920,0.4854,246.15,29.34,1789440
X51005719905.jpg,936,2079,0.4502,237.98,45.21,1945944
X51005719906.jpg,932,2253,0.4137,241.46,39.88,2099796
X51005719912.jpg,816,2229,0.3661,233.03,29.57,1818864
X51005719914.jpg,940,2594,0.3624,231.78,28.19,2438360
X51005719917.jpg,932,2679,0.3479,242.03,35.74,2496828
X51005722668.jpg,936,1858,0.5038,241.61,41.21,1739088
X51005722699.jpg,936,2132,0.439,236.0,50.76,1995552
X51005724552.jpg,928,2104,0.4411,238.62,40.9,1952512
X51005724554.jpg,932,2132,0.4371,236.44,45.93,1987024
X51005724611.jpg,928,2107,0.4404,239.21,40.27,1955296
X51005724621.jpg,932,2107,0.4423,239.97,40.6,1963724
X51005724622.jpg,932,2216,0.4206,239.01,42.18,2065312
X51005724623.jpg,924,2219,0.4164,241.79,34.81,2050356
X51005724624.jpg,932,2212,0.4213,239.27,41.9,2061584
X51005724625.jpg,928,2317,0.4005,240.37,39.66,2150176
X51005724626.jpg,928,2319,0.4002,239.16,41.78,2152032
X51005724627.jpg,944,2105,0.4485,235.12,50.44,1987120
X51005724628.jpg,932,2209,0.4219,229.86,62.07,2058788
X51005724629.jpg,928,2115,0.4388,239.6,40.97,1962720
X51005741929.jpg,742,2017,0.3679,242.83,49.73,1496614
X51005741944.jpg,735,1889,0.3891,239.43,56.23,1388415
X51005742068.jpg,831,1331,0.6243,240.87,47.9,1106061
X51005742110.jpg,746,1212,0.6155,239.15,57.77,904152
X51005745183.jpg,740,1173,0.6309,233.48,66.98,868020
X51005745187.jpg,744,1335,0.5573,240.31,54.79,993240
X51005745188.jpg,706,1659,0.4256,235.46,63.64,1171254
X51005745190.jpg,744,1970,0.3777,238.68,57.24,1465680
X51005745213.jpg,704,1640,0.4293,240.01,53.31,1154560
X51005745214.jpg,702,1466,0.4789,232.29,68.92,1029132
X51005745244.jpg,742,1592,0.4661,241.14,53.79,1181264
X51005745249.jpg,740,1863,0.3972,237.97,59.39,1378620
X51005745296.jpg,786,2184,0.3599,246.36,30.32,1716624
X51005745298.jpg,749,1433,0.5227,244.3,28.47,1073317
X51005746140.jpg,744,1244,0.5981,236.92,61.75,925536
X51005746203.jpg,744,2171,0.3427,236.31,61.81,1615224
X51005746204.jpg,705,1473,0.4786,235.28,64.66,1038465
X51005746206.jpg,731,1701,0.4297,239.69,57.27,1243431
X51005746207.jpg,745,2001,0.3723,236.12,62.61,1490745
X51005746210.jpg,705,2287,0.3083,232.47,68.87,1612335
X51005749895.jpg,934,2132,0.4381,242.86,32.64,1991288
X51005749904.jpg,884,1698,0.5206,242.69,28.35,1501032
X51005749905.jpg,942,2020,0.4663,240.36,46.08,1902840
X51005749912.jpg,932,1838,0.5071,239.73,38.77,1713016
X51005757199.jpg,711,1662,0.4278,202.34,38.77,1181682
X51005757201.jpg,704,2587,0.2721,191.2,48.8,1821248
X51005757233.jpg,618,1541,0.401,192.57,52.75,952338
X51005757235.jpg,706,1640,0.4305,195.91,48.35,1157840
X51005757243.jpg,708,1652,0.4286,199.77,40.01,1169616
X51005757248.jpg,705,1844,0.3823,196.65,44.82,1300020
X51005757273.jpg,711,1313,0.5415,198.07,47.19,933543
X51005757282.jpg,689,1530,0.4503,196.0,61.7,1054170
X51005757286.jpg,710,1208,0.5877,200.01,41.31,857680
X51005757290.jpg,714,1463,0.488,191.56,52.19,1044582
X51005757292.jpg,709,1233,0.575,197.85,45.18,874197
X51005757294.jpg,710,1227,0.5786,197.62,46.2,871170
X51005757304.jpg,703,1784,0.3941,196.16,40.57,1254152
X51005757308.jpg,710,1724,0.4118,195.02,48.8,1224040
X51005757323.jpg,710,1451,0.4893,194.55,47.99,1030210
X51005757324.jpg,708,1330,0.5323,196.17,47.56,941640
X51005757342.jpg,708,1400,0.5057,195.45,46.72,991200
X51005757346.jpg,708,1302,0.5438,195.23,48.12,921816
X51005757349.jpg,703,1373,0.512,206.94,43.94,965219
X51005757351.jpg,703,1328,0.5294,196.28,48.63,933584
X51005757353.jpg,698,1448,0.482,195.78,49.25,1010704
X51005763940.jpg,740,1946,0.3803,236.08,63.37,1440040
X51005763958.jpg,742,1625,0.4566,238.03,59.23,1205750
X51005763964.jpg,745,1217,0.6122,239.01,57.97,906665
X51005763999.jpg,711,2106,0.3376,235.26,62.61,1497366
X51005764031.jpg,747,1866,0.4003,239.13,57.03,1393902
X51005764154.jpg,730,1778,0.4106,239.09,57.62,1297940
X51005764161.jpg,705,1373,0.5135,237.7,59.18,967965
X51005806678.jpg,986,2559,0.3853,206.25,41.17,2523174
X51005806679.jpg,986,2559,0.3853,203.93,43.9,2523174
X51005806685.jpg,747,1180,0.6331,212.19,50.4,881460
X51005806692.jpg,808,2360,0.3424,198.51,54.51,1906880
X51005806695.jpg,842,1280,0.6578,200.37,59.32,1077760
X51005806696.jpg,792,1141,0.6941,205.35,48.99,903672
X51005806698.jpg,687,1246,0.5514,201.71,58.96,856002
X51005806702.jpg,841,1424,0.5906,209.28,49.13,1197584
X51005806703.jpg,864,1617,0.5343,203.22,49.0,1397088
X51005806716.jpg,770,1290,0.5969,212.19,48.07,993300
X51005806718.jpg,786,1579,0.4978,190.74,55.72,1241094
X51005806719.jpg,864,1373,0.6293,210.86,51.09,1186272
